iter	RMSE
0	15.56983946
1	14.63888949
2	13.78341022
3	12.96372469
4	12.32509755
5	11.74190603
6	11.20194348
7	10.52971389
8	9.907591694
9	9.332372401
10	8.922000726
11	8.415521767
12	8.054628485
13	7.643399758
14	7.227526459
15	6.855508828
16	6.623747069
17	6.341195273
18	6.04381444
19	5.74707226
20	5.443585871
21	5.192208399
22	4.925370996
23	4.680536241
24	4.467050329
25	4.249782173
26	4.061414904
27	3.868553008
28	3.70225751
29	3.497614482
30	3.336034141
31	3.194069999
32	3.019534376
33	2.884216132
34	2.73119707
35	2.637646067
36	2.526985847
37	2.448199051
38	2.316502139
39	2.195414282
40	2.10648807
41	1.998090042
42	1.898624288
43	1.840077288
44	1.750577458
45	1.668642928
46	1.630103411
47	1.556188189
48	1.496470642
49	1.439700231
50	1.388340623
51	1.341980381
52	1.28510597
53	1.244309291
54	1.210907531
55	1.175674109
56	1.128332511
57	1.085084672
58	1.039834399
59	0.9985965192
60	0.9720633674
61	0.9350036529
62	0.9013524318
63	0.8684526604
64	0.8384834824
65	0.809955665
66	0.7904090883
67	0.7654025124
68	0.751009659
69	0.7355923465
70	0.7146914637
71	0.6917843102
72	0.6735171447
73	0.6534404729
74	0.6427968099
75	0.6245034704
76	0.6088921568
77	0.5989265052
78	0.5845737942
79	0.5754126683
80	0.5672197341
81	0.5537975444
82	0.541671208
83	0.5307305903
84	0.5227543377
85	0.5075185891
86	0.4977992077
87	0.4872157696
88	0.4739803337
89	0.4646826915
90	0.4548578582
91	0.4458462814
92	0.4377371864
93	0.4291607604
94	0.4215197693
95	0.4138106281
96	0.4050979592
97	0.398084316
98	0.391024829
99	0.3845437568
100	0.3768484574
101	0.3709583802
102	0.3644716423
103	0.3590341517
104	0.352262898
105	0.3464670469
106	0.3413970464
107	0.3355098493
108	0.3309188198
109	0.3256239337
110	0.320919248
111	0.3165824294
112	0.31153357
113	0.3076307515
114	0.3033280081
115	0.2989614513
116	0.2953584034
117	0.2915277637
118	0.2877537127
119	0.2844421172
120	0.2814916497
